Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Debut,Age,Seasons,NHLid,CorsicaID,H-Ref Name,Last Name,First Name,Position,Team,GP,G,A,A1,PTS,Rnk,Gap,PTS/GP,PAX,GC,+/-,E+/-,PIM,Shifts,TOI,TOI,TOI,TOI,TOI/GP,TOI%,IPP%,iCF,iCF,iCF,iFF,iFF,iSF,iSCF,iHDCF,iRush,iReb,iDS,ixG,sDist,Pass,TOff,TOff/60,OZS,NZS,DZS,ZS%,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,FO%,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,Hat,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPENT2,iPENT5,iPEND,iPEND2,iPEND5,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,GF,GA,SH%,SV%,PDO,CF,CA,FF,FA,SF,SA,GF,GA,SCF,SCA,HDCF,HDCA,HDGF,HDGA,PENT,PEND,OPS,DPS,PS,GS,GS/G,Star,OWAR,DWAR,WAR,SOS,SOG,SOGDG,Grit,DAP,Pres,CPP,CPP,Pace,MGL,Injuries,CHIP,NMC,Status,Salary,Cap Hit,GP,G,A,PTS,+/-,PIM,Shot,TOI,OPS,DPS,PS,
1987-11-29,Victoria,BC,CAN,CAN,73,207,,,,L,2012,30,6,8475625,MATT.IRWIN,Matt Irwin,Irwin,Matt,D,NSH,50,2,6,2,8,18,56,0.16,-6,2.8,2,-3.5,8,940,40296,671.6,671.6,672,13.43,22.73,32.00%,145,145,145,91,91,62,41,4,4,8,12,2.35,58.7097,50.2,195.2,17.4,202,214,225,47.30%,78,78,89,-11,29,16,10,54,10.40%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,5,22,3,0,21,10,0,0,28,4,3,4,4,0,3,3,0,-1,-0.1,4,0,0,0,0,615,629,456,465,310,347,22.66,26.23,25,27,8.10%,0.922,1.003,616,630,458,466,313,348,25,27,286,311,110,113,15,16,58,58,0.2,1.4,1.6,13,0.26,0.1688,-0.08,0.2,0.12,,,,140,22,1.30%,7.2,8,111.1,,,,,UFA,"$650,000","$650,000",279,21,51,72,19,97,482,4700,4.5,11.5,16,7.2
1986-09-07,Judique,NS,CAN,CAN,73,204,2006,6,160,L,2008,31,10,8473584,ANDREW.MACDONALD,Andrew MacDonald,MacDonald,Andrew,D,PHI,66,6,15,2,21,11,81,0.32,2.7,7.2,8,0.2,30,1698,78611,1310.2,1310.7,1310,19.85,32.97,38.90%,194,194,194,121,121,82,54,6,3,16,19,3.96,61.8659,22.8,216.8,9.9,306,422,524,36.90%,36,36,120,-84,39,46,16,131,11.50%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,0,0,0,1,0,0,3,36,10,1,32,10,1,1,27,14,11,15,15,0,12,12,0,-3,3.3,14,0,0,0,0,1041,1387,783,1010,568,707,54.79,63.71,54,61,9.50%,0.914,1.009,1036,1388,778,1010,561,707,53,60,521,671,202,245,26,34,79,76,1.1,3.2,4.3,17.5,0.26,1.5526,0.17,-0.07,0.1,,,,197,3.7,3.10%,18,21.7,111.1,5,"Lower body, Upper body",256,,UFA,"$5,250,000","$5,000,000",539,28,124,152,-6,258,553,11763,5.4,24.8,30.2,18
1998-06-25,Nizhnekamsk,,RUS,RUS,75,215,2016,1,9,L,2016,19,2,8479410,MIKHAIL.SERGACHEV,Mikhail Sergachev,Sergachev,Mikhail,D,TBL,79,9,31,17,40,9,60,0.51,40,13.6,11,7.4,38,1528,72808,1213.5,1213.33,1213,15.36,25.66,50.00%,329,330,330,222,222,141,123,17,4,19,23,8.24,47.7801,257.8,586.8,29,558,368,203,73.30%,90,90,110,-20,81,60,21,64,7.70%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,4,1,0,0,4,0,3,16,62,6,0,48,18,1,2,66,19,9,20,20,0,8,8,0,-10,-5.4,19,0,0,0,0,1422,1015,1066,772,739,581,64.99,40.25,80,45,10.80%,0.923,1.031,1415,1016,1059,773,735,583,80,46,768,516,271,183,43,20,92,93,3.5,2.5,6,49.4,0.63,2.4827,0.12,-0.01,0.11,1,0,0,192,5.8,3.30%,36.2,38.9,120.5,,,,,RFA,"$925,000","$894,166",83,9,31,40,12,38,143,1262,3.5,2.7,6.2,36.2
1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,3,62,R,2006,30,12,8471724,KRIS.LETANG,Kris Letang,Letang,Kris,D,PIT,79,9,42,15,51,4,47,0.65,0.4,16.9,-9,15.1,56,2350,120058,2001,2000.95,2001,25.33,41.87,40.50%,441,422,443,295,297,222,131,23,3,30,33,11.01,50.6937,226.4,667.4,20,784,738,698,52.90%,109,109,129,-20,75,89,53,108,7.50%,0,1,0.00%,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,6,1,0,0,2,0,3,6,66,10,0,65,35,2,0,110,28,15,28,28,0,15,15,0,-13,-5,28,0,0,0,0,2144,1740,1624,1326,1204,969,125.08,95.88,126,109,10.50%,0.888,0.992,2151,1738,1630,1326,1208,969,127,109,1202,911,486,383,72,64,132,121,3.7,3.4,7.1,61.8,0.78,3.3977,0.2,0.35,0.54,2,1,1,273,5.8,3.60%,45.4,50,116.5,4,Lower body,195,,UFA,"$7,250,000","$7,250,000",682,96,341,437,48,494,1728,16114,39,35.1,74.1,45.4
1992-12-06,Ust-Kamenogorsk,,KAZ,RUS,71,175,,,,L,2017,25,1,8479755,VICTOR.ANTIPIN,Victor Antipin,Antipin,Victor,D,BUF,47,0,10,4,10,15,54,0.21,0,3,-9,-2.9,18,965,43083,718.1,718.05,718,15.28,25.75,43.50%,79,79,79,53,53,40,18,3,0,7,7,1.52,47.175,102.3,181.3,15.1,232,196,167,58.10%,14,14,34,-20,13,13,4,41,8.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,0,12,3,0,0,23,9,2,9,9,0,2,2,0,-7,-0.7,9,0,0,0,0,624,603,455,461,338,340,23,25.88,23,29,6.80%,0.915,0.983,623,602,454,460,335,339,23,28,270,273,109,116,14,13,43,49,0.1,1.2,1.4,7.2,0.15,0.3034,-0.49,0.05,-0.44,,,,73,2,0.00%,8.2,9.9,102.5,4,Illness,195,,RFA,"$925,000","$925,000",47,0,10,10,-9,18,40,718,0.1,1.2,1.4,8.2
1990-03-13,Kingsville,ON,CAN,CAN,75,230,2010,6,154,R,2011,27,7,8474774,DALTON.PROUT,Dalton Prout,Prout,Dalton,D,NJD,4,0,0,0,0,30,93,0,-0.6,0,-2,0.4,13,80,3357,56,55.95,56,13.99,23.37,0.00%,9,9,9,7,7,5,2,1,0,0,0,0.16,48.8,0,9,9.7,11,21,20,35.50%,7,7,4,3,2,4,0,3,6.10%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,5,0,5,4,1,1,0,1,-5,-3.8,4,1,0,0,0,56,54,48,46,36,30,4.29,2.82,3,5,8.30%,0.833,0.917,56,54,48,46,36,30,3,5,33,25,16,8,2,3,10,3,-0.1,0,-0.1,-0.1,-0.03,0.0012,0,0,0,,,,24,1.8,0.00%,-1.3,-0.8,118,,,,NTC,UFA,"$1,900,000","$1,575,000",242,6,30,36,-14,306,225,4077,-0.4,7.3,7,-1.3
1987-05-02,Caroline,AB,CAN,CAN,70,173,2005,3,67,L,2007,30,11,8471729,KRIS.RUSSELL,Kris Russell,Russell,Kris,D,EDM,78,4,17,7,21,12,87,0.27,-2.1,7.1,-7,-6.4,8,2009,89240,1487.2,1488.1,1487,19.07,31.73,37.50%,193,193,193,133,133,90,62,8,7,7,14,4,53.9111,185.3,378.3,15.3,421,480,499,45.80%,97,97,112,-15,43,72,20,223,16.60%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,1,41,2,0,26,13,2,0,47,4,9,4,4,0,8,8,0,5,12,4,0,0,0,0,1328,1582,982,1120,715,824,61.87,80.29,56,88,7.80%,0.893,0.972,1329,1581,982,1119,715,823,55,87,672,832,266,318,29,46,81,89,0.7,2.4,3.1,24.3,0.31,0.8861,-0.16,0.43,0.27,,,,328,29.3,1.90%,20.2,23.4,117.3,6,"Hand, Undisclosed",293,,UFA,"$5,000,000","$4,000,000",719,43,168,211,-10,218,917,13926,10.8,29.3,40.1,20.2
1989-12-20,Toronto,ON,CAN,CAN,74,195,,,,R,2010,28,8,8475690,CHRIS.TANEV,Chris Tanev,Tanev,Christopher,D,VAN,42,2,9,2,11,16,44,0.26,1.9,3.7,7,-5.6,8,1127,49835,830.6,811.45,831,19.78,32.87,28.20%,50,51,51,39,39,31,12,0,1,2,3,0.98,60.9677,22.2,72.2,5.3,228,321,433,34.50%,21,19,66,-47,8,15,15,70,10.30%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,9,5,0,0,17,4,4,5,5,0,4,4,0,0,1,4,0,0,0,0,570,803,430,610,321,434,24.76,37.48,39,47,12.10%,0.892,1.013,585,820,436,626,326,444,39,48,276,452,106,159,21,26,45,48,0.3,2.5,2.8,10.1,0.24,1.2424,0.09,0.1,0.19,,,,99,9,1.80%,10.2,11.2,101.5,11,"Mouth, Thumb",575,,UFA,"$5,000,000","$4,450,000",390,18,68,86,36,62,280,7688,2.1,21,23.1,10.2
1986-04-28,Ostrava,,CZE,CZE,74,235,2004,6,180,R,2006,31,12,8471392,ROMAN.POLAK,Roman Polak,Polak,Roman,D,TOR,54,2,10,5,12,19,57,0.22,2.2,4,5,0.3,46,1275,57163,952.7,952.72,953,17.64,29.76,32.40%,127,127,127,80,80,47,30,4,3,8,11,2.22,48.4468,107.3,234.3,14.8,188,310,389,32.60%,131,131,74,57,33,32,5,84,8.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,29,3,0,20,10,0,0,14,22,8,23,23,0,7,7,0,-14,-9.4,22,0,0,0,0,818,1095,616,855,435,615,38.79,54.16,37,46,8.50%,0.925,1.01,824,1095,620,854,443,615,38,46,436,552,156,193,19,26,63,57,0.3,2.2,2.4,9.2,0.17,0.5863,0.02,-0.83,-0.81,,,,261,6.2,1.10%,7.4,10.1,120.5,4,Illness,195,,UFA,"$1,100,000","$1,100,000",688,25,102,127,-8,550,688,13046,0.9,28.6,29.5,7.4
1992-02-18,Kosice,,SVK,SVK,77,212,2010,2,46,L,2013,25,5,8475716,MARTIN.MARINCIN,Martin Marincin,Marincin,Martin,D,TOR,2,0,0,0,0,28,69,0,-0.3,0,-2,-0.5,2,50,2001,33.4,33.35,33,16.68,28.22,0.00%,3,3,3,2,2,0,0,0,0,0,0,0.03,0,0,3,5.4,9,10,16,36.00%,1,1,0,1,2,2,1,4,16.70%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-1,-0.9,1,0,0,0,0,24,32,14,20,8,13,0.42,1.27,0,2,0.00%,0.846,0.846,23,32,14,20,8,13,0,2,7,18,1,5,0,1,1,3,0,-0.1,-0.1,-0.5,-0.25,0.0001,0,0,0,,,,7,2,0.00%,-0.2,-0.2,100.7,,,,,RFA,"$1,300,000","$1,250,000",177,3,22,25,-8,84,143,3182,-0.9,6.5,5.6,-0.2
1992-01-30,Tonka Bay,MN,USA,USA,75,205,2010,2,54,R,2017,26,1,8475718,JUSTIN.HOLL,Justin Holl,Holl,Justin,D,TOR,2,2,0,0,2,24,67,1,0,1,5,0.6,0,53,2083,34.7,34.72,35,17.36,28.93,40.00%,4,4,4,4,4,2,1,0,0,0,0,0.07,40,0,4,6.9,8,6,14,36.40%,2,2,7,-5,2,1,0,3,10.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,48,37,35,27,27,19,2.22,1.73,5,0,18.50%,1,1.185,49,37,36,27,28,19,5,0,27,20,12,10,3,0,0,1,0.4,0.5,0.8,3.3,1.63,0.4462,0,0,0,,,,5,0,30.60%,2,2,146.9,,,,M-NTC,RFA,"$650,000","$650,000",2,2,0,2,5,0,2,35,0.4,0.5,0.8,2
1987-05-07,Edmonton,AB,CAN,CAN,73,189,,,,L,2008,30,10,8473673,DAVID.SCHLEMKO,David Schlemko,Schlemko,David,D,MTL,37,1,4,4,5,24,49,0.14,-3.9,1.8,3,5.6,6,910,40104,668.4,668.4,668,18.06,30.2,17.20%,89,89,89,50,50,38,21,2,3,8,11,1.65,50.3158,63.6,152.6,13.7,216,225,180,54.50%,33,33,82,-49,12,27,13,72,13.30%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,8,2,0,12,1,0,0,23,3,2,3,3,0,2,2,0,-1,1.8,3,0,0,0,0,637,675,454,471,332,341,32.87,28.71,29,29,8.70%,0.915,1.002,643,674,457,470,336,341,29,29,327,326,141,113,20,15,32,30,-0.2,1.8,1.6,8.9,0.24,0.2065,-0.08,0.09,0.01,1,0,0,111,15.3,1.10%,4.4,5.4,117.8,4,Upper body,195,,UFA,"$2,250,000","$2,100,000",397,18,74,92,10,120,528,6829,3.8,16.7,20.5,4.4
1991-10-18,Kansas City,MO,USA,USA,76,201,2010,2,53,R,2014,26,2,8475729,MARK.ALT,Mark Alt,Alt,Mark,D,"PHI, COL",15,0,0,0,0,0,0,0,0,0,-1,-1.3,2,255,11204,186.7,186.73,186,12.45,21.2,0.00%,29,29,29,17,17,11,4,0,0,3,3,0.29,53.3636,0,29,9.3,59,48,51,53.60%,17,17,34,-17,6,4,3,18,12.10%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,8,1,1,1,1,0,0,0,0,0,-0.2,1,0,0,0,0,158,181,112,131,81,103,4.82,7.7,3,5,3.70%,0.951,0.988,162,181,115,131,83,103,3,5,78,93,21,36,1,5,13,9,-0.2,0.3,0.1,0.9,0.06,0.0019,-0.01,0.02,0.01,,,,37,20,0.00%,-0.2,0,108.9,,,,,UFA,"$650,000","$650,000",16,0,0,0,-2,2,11,196,-0.2,0.2,0,-0.2
1992-04-18,Ellwood City,PA,USA,USA,76,221,2010,2,60,R,2015,25,3,8475730,STEPHEN.JOHNS,Stephen Johns,Johns,Stephen,D,DAL,75,8,7,1,15,13,64,0.2,2,6.1,10,1,41,1854,78951,1315.9,1315.88,1316,17.54,29.14,32.60%,249,249,249,164,164,121,64,4,8,9,17,4.59,58.7025,24.8,273.8,12.5,369,437,526,41.20%,201,201,97,104,43,44,25,155,14.70%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,4,1,4,3,35,4,0,52,7,1,0,57,15,3,16,13,3,5,2,3,-12,-4.8,12,3,0,0,0,1123,1297,805,897,595,626,49.46,58.38,46,55,7.70%,0.912,0.989,1122,1297,805,898,597,627,46,55,513,648,213,215,23,25,107,93,0.8,3.7,4.4,26,0.35,1.6582,-0.5,0.56,0.06,,,,400,18.8,3.90%,10.9,14,110.3,4,Upper body,195,,RFA,"$800,000","$725,000",150,13,15,28,-6,83,225,2679,1.1,4.7,5.8,10.9
1994-06-06,Oulu,,FIN,FIN,73,191,2015,7,189,L,2016,23,2,8478906,MARKUS.NUTIVAARA,Markus Nutivaara,Nutivaara,Markus,D,CBJ,61,7,16,10,23,12,59,0.38,16.5,8.4,13,7.3,14,1280,58664,977.4,977.33,978,16.03,26.97,52.30%,156,156,156,113,113,79,52,8,1,9,10,4.36,45.9494,235.3,391.3,24,326,287,280,53.80%,42,42,61,-19,34,19,9,40,5.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,4,0,0,3,31,3,0,22,13,1,0,40,7,5,7,7,0,5,5,0,-2,4.5,7,0,0,0,0,986,855,763,642,546,471,48.28,42.71,44,28,8.10%,0.941,1.021,995,854,770,641,552,470,44,29,533,419,215,184,25,15,52,63,1.9,3,4.9,29.6,0.49,1.676,0.37,-0.36,0.01,,,,96,7.3,4.10%,21.6,23.9,113,4,Upper body,195,,UFA,"$842,500","$817,500",127,9,21,30,20,20,145,1850,1.8,5.3,7.1,21.6
1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,5,151,R,2005,36,13,8469598,KEVIN.BIEKSA,Kevin Bieksa,Bieksa,Kevin,D,ANA,59,0,8,4,8,19,61,0.14,-13.3,2.4,-13,-5.2,83,1251,63786,1063.1,1063.1,1063,18.02,30.15,27.60%,147,147,147,110,110,66,35,5,3,8,11,2.79,58.8182,88.3,235.3,13.3,273,324,385,41.50%,116,116,65,51,44,41,12,81,8.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,1,0,27,7,1,0,30,30,12,29,24,5,18,14,4,-18,-3.7,24,5,0,1,0,861,1214,648,928,455,638,42.26,59.96,29,45,6.40%,0.929,0.993,860,1215,650,929,455,638,29,45,443,639,198,260,18,25,97,78,-0.5,1.2,0.7,1.7,0.03,0.2127,-0.62,-0.45,-1.07,,,,285,5.3,0.00%,-0.3,7.3,117.1,15,Hand,732,,UFA,"$4,000,000","$4,000,000",808,63,215,278,2,1124,1436,17453,15.9,39.4,55.3,-0.3
1992-02-08,Stockholm,,SWE,SWE,75,219,2010,2,41,L,2013,25,5,8475747,PATRIK.NEMETH,Patrik Nemeth,Nemeth,Patrik,D,COL,68,3,12,4,15,17,82,0.22,6.2,5.1,27,-2.6,41,1677,81014,1350.2,1350.23,1350,19.86,33.25,21.70%,144,144,144,101,101,73,34,2,2,1,3,2.76,53.589,38.5,182.5,8.1,237,455,657,26.50%,66,66,131,-65,28,25,14,185,13.30%,0,3,0.00%,0,1,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,27,2,0,26,5,0,0,40,18,8,19,18,1,9,8,1,-10,-4.1,17,1,0,0,0,1018,1661,768,1209,573,865,49.49,70.78,69,62,12.00%,0.928,1.049,1020,1664,770,1211,573,866,69,62,527,756,190,268,31,28,81,92,0.2,4.9,5.1,16.3,0.24,0.7902,0.27,0.49,0.75,,,,293,4.7,1.40%,10.9,14.2,119,5,"Lower body, Shoulder",207,M-NTC,RFA,"$945,000","$945,000",176,3,26,29,19,81,174,3042,-0.3,7.1,6.8,10.9
1992-02-03,Oklahoma City,OK,USA,USA,75,205,2010,2,38,L,2013,25,5,8475750,JON.MERRILL,Jonathon Merrill,Merrill,Jon,D,VGK,34,1,2,1,3,24,75,0.09,-2.7,1.1,7,1.1,22,693,32815,546.9,546.9,547,16.09,27.09,14.30%,59,59,59,43,43,30,16,3,1,6,7,1.31,47.4,24.1,83.1,9.1,165,176,154,51.70%,35,35,78,-43,13,18,7,42,9.70%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,12,3,0,6,4,0,0,17,11,1,11,11,0,1,1,0,-10,-5.6,11,0,0,0,0,497,510,367,389,259,264,22.07,20.09,21,16,8.10%,0.939,1.02,492,508,363,387,258,263,21,16,237,215,79,78,8,10,35,32,-0.3,1.6,1.4,6,0.18,0.6565,-0.01,0.25,0.24,,,,99,3.8,0.90%,0.8,1.9,110.5,20,Undisclosed,277,NTC,UFA,"$1,275,000","$1,137,500",250,7,32,39,-34,110,200,4644,-0.7,9.1,8.4,0.8
1992-03-03,Edmonton,AB,CAN,CAN,76,206,2010,2,36,R,2012,25,6,8475755,ALEX.PETROVIC,Alexander Petrovic,Petrovic,Alexander,D,FLA,67,2,11,5,13,16,65,0.19,-1.6,4.2,-2,1.5,98,1278,58920,982,982,982,14.66,24.83,37.10%,147,147,147,95,95,60,30,4,1,8,9,2.64,51.6833,131.5,278.5,17,334,361,234,58.80%,142,142,102,40,35,33,17,74,9.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,33,2,0,38,5,1,0,14,28,4,28,22,6,11,6,5,-24,-9.6,19,6,0,2,1,920,895,710,672,510,483,38.25,38.68,35,39,6.90%,0.919,0.988,920,893,712,670,512,481,34,39,402,414,155,148,19,23,89,85,0.3,1.9,2.2,16.2,0.24,0.5446,-0.03,-0.09,-0.11,,,,320,8.4,1.00%,3.2,11.1,110.9,4,Lower body,195,NTC,RFA,"$1,850,000","$1,850,000",228,5,43,48,5,334,206,3725,1.2,8.3,9.5,3.2
1992-03-04,Duluth,MN,USA,USA,76,215,2010,1,15,L,2015,25,3,8475762,DEREK.FORBORT,Derek Forbort,Forbort,Derek,D,LAK,78,1,17,10,18,12,74,0.23,1.8,5.5,18,-3.2,49,2077,97288,1621.5,1621.47,1621,20.79,34.69,27.70%,193,194,194,115,116,78,46,7,5,3,8,3.28,55.1923,227.6,420.6,15.6,404,564,687,37.00%,142,142,138,4,38,79,19,156,11.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,36,0,1,15,7,0,0,55,23,10,24,24,0,11,10,1,-13,-5.7,22,1,0,0,0,1317,1661,995,1243,725,879,57.65,81.87,65,69,9.00%,0.922,1.011,1306,1659,991,1241,720,877,65,68,600,860,215,324,31,28,120,109,-0.1,5.4,5.4,25.4,0.33,1.0523,-0.55,0.31,-0.25,,,,348,7.3,0.40%,13.1,16.9,110.2,6,"Lower body, Upper body",211,,UFA,"$650,000","$650,000",174,4,34,38,25,120,192,3426,0.2,11.2,11.4,13.1
1991-12-05,Windsor,ON,CAN,USA,73,215,2010,1,12,L,2010,26,8,8475764,CAM.FOWLER,Cam Fowler,Fowler,Cam,D,ANA,67,8,24,8,32,9,37,0.48,2.6,11.1,3,-1.5,28,1735,99911,1665.2,1664.85,1665,24.85,40.92,43.20%,274,275,275,163,163,122,121,25,7,22,29,7,44.6885,191,465,16.8,566,554,585,49.20%,21,21,98,-77,41,47,27,108,8.10%,1,1,50.00%,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,2,1,0,0,4,0,2,3,36,6,0,40,15,1,1,59,14,6,14,14,0,6,6,0,-8,-1.4,14,0,0,0,0,1593,1637,1194,1228,854,878,87.93,85.64,74,72,8.70%,0.918,1.005,1595,1636,1198,1227,857,879,75,72,813,851,360,337,52,36,96,98,2,3.8,5.8,30.9,0.46,2.874,0.02,-0.02,0,3,1,0,157,3.4,4.40%,29.2,31.7,116.4,7,"Lower body, Shoulder",341,,UFA,"$4,000,000","$4,000,000",561,53,196,249,-36,145,904,12932,17.6,23.8,41.4,29.2
1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,1,3,L,2006,31,12,8471677,JACK.JOHNSON,Jack Johnson,Johnson,Jack,D,CBJ,77,3,8,4,11,18,71,0.14,-17.9,3.9,-6,-10.9,22,1920,90304,1505.1,1505.07,1505,19.55,32.49,20.00%,175,175,175,125,125,88,47,6,2,8,10,4.13,55.4205,100.7,275.7,11,395,442,620,38.90%,101,101,89,12,37,23,20,135,10.10%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,4,32,5,1,33,11,0,0,38,11,4,12,12,0,4,4,0,-7,-2,11,0,0,0,0,1256,1629,967,1201,700,891,62.8,89.83,55,94,7.90%,0.895,0.973,1254,1625,964,1196,697,887,55,93,628,855,230,333,30,48,91,80,-0.4,2.6,2.2,13.3,0.17,0.8029,-0.31,-0.53,-0.84,3,2,1,258,11,1.40%,8.8,10.6,115,,,,,UFA,"$5,000,000","$4,357,143",788,66,212,278,-109,454,1269,18025,16.2,31.4,47.6,8.8
1990-11-29,Plzen,,CZE,CZE,79,220,,,,R,2012,27,6,8477205,ANDREJ.SUSTR,Andrej Sustr,Sustr,Andrej,D,TBL,44,2,5,5,7,22,93,0.16,-2,2.5,-5,-1,18,713,33895,564.9,564.92,565,12.84,21.84,33.30%,94,94,94,66,66,45,25,5,4,1,5,2.31,56.2222,130.3,224.3,23.8,116,168,174,40.00%,9,9,49,-40,21,16,6,33,7.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,20,1,0,18,5,2,0,19,9,1,9,9,0,0,0,0,-8,-4.5,9,0,0,0,0,531,540,373,423,279,321,21.56,22.27,21,29,7.50%,0.91,0.985,534,539,375,422,279,320,21,29,262,266,94,84,12,13,41,36,0.2,0.4,0.6,8.4,0.19,0.1929,-0.05,-0.07,-0.13,,,,60,1.7,1.30%,5.2,6.1,113.8,,,,NTC,UFA,"$1,950,000","$1,950,000",318,10,53,63,-3,141,299,5244,1.6,10.1,11.6,5.2
1982-04-03,Edmonton,AB,CAN,CAN,74,214,2000,6,194,R,2009,35,9,8468674,DERYK.ENGELLAND,Deryk Engelland,Engelland,Deryk,D,VGK,79,5,18,13,23,12,55,0.29,8.5,8,6,-4,24,1972,96128,1601.5,1600.25,1602,20.28,33.85,33.30%,216,217,217,155,156,108,44,5,7,10,17,4.49,51.7407,260.6,476.6,17.9,430,499,685,38.60%,126,126,128,-2,48,53,25,150,10.10%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,44,4,0,24,11,0,0,69,12,7,12,12,0,6,6,0,-5,2,12,0,0,0,0,1338,1787,1017,1329,741,959,61,84.22,69,87,9.30%,0.909,1.002,1346,1787,1023,1326,743,955,69,86,658,898,230,352,38,42,87,99,0.9,3.6,4.5,26,0.33,1.6983,-0.07,-0.36,-0.43,,,,300,12.6,2.00%,20.6,23.4,117.2,4,Upper body,195,"M-NTC, NMC",UFA,"$1,000,000","$1,000,000",548,27,82,109,1,524,566,8711,4.2,17.4,21.5,20.6
